domain,code,title,description,skill,score
STEM,ESC 223,switching systems and logic design,this course includes the analysis and design of com i national and sequential circuits and their applications to digital systems the use of integrated circuits in the design of digital circuits is illustrated in the laboratory experiments,Convert data among multiple digital or analog formats.,3
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Train staff members in social services skills.,3
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Evaluate skills of athletes or performers.,1
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Practice athletic or artistic skills.,1
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Measure the level or depth of water or other liquids.,1
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Level machines or equipment.,1
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Teach life skills.,3
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Teach daily living skills or behaviors.,4
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Update job related knowledge or skills.,4
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Train personnel to enhance job skills.,4
Linguistics and Art,ESL 94,english as a second language,this advanced level course emphasizes writing and reading skills however oral skills are not neglected in writing students focus on introducing developing supporting and organizing their ideas in expository essays as well as in narrative and descriptive writing,Research advanced engineering designs or applications.,2
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Direct fundraising or financing activities.,3
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Monitor financial indicators.,4
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Conduct financial or regulatory audits.,3
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Authorize financial actions.,3
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Negotiate financial arrangements.,4
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Locate fires or fire danger areas.,1
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Inspect cargo areas for cleanliness or condition.,1
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Arrange tables or dining areas.,1
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Develop business or financial information systems.,3
Business Management and Accounting,FNB 100,introduction to finance,this course focuses on the three general areas of 1 money and financial institutions 2 business financial management and 3 investments these areas are surveyed by covering such topics as value and creation of money the federal reserve system commercial banks short and medium term financing and the behavior of securities markets in relation to financing the business enterprise,Monitor business indicators.,3
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Monitor engine operation or functioning.,1
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Verify customer credit information.,3
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Identify sustainable business practices.,3
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Follow safety procedures for vehicle operation.,1
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Develop sustainable business strategies or practices.,1
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,"Discuss business strategies, practices, or policies with managers.",2
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Measure effectiveness of business strategies or practices.,3
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,"Issue money, credit, or vouchers.",3
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Research issues related to the environment or sustainable business practices.,2
Business Management and Accounting,FNB 220,commercial credit and collections management,students are introduced to the principles and practices involved in the extension of credit in the business world the course covers operation of the credit department including,Time vehicle speed or traffic-control equipment operation.,1
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Confer with others about financial matters.,5
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Advise others on financial matters.,4
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Monitor financial indicators.,3
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Conduct financial or regulatory audits.,3
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Authorize financial actions.,3
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Negotiate financial arrangements.,4
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Advise others on healthcare matters.,2
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Advise others on business or operational matters.,4
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Advise others on legal or regulatory compliance matters.,3
Business Management and Accounting,FNB 230,financial management,this course surveys principles and practices followed in the financial organization and operation of a corporation also considered are the financing of new and growing businesses sources of capital banking and credit accommodations as well as the handling of other financial matters,Monitor engine operation or functioning.,1
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Monitor financial indicators.,4
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Conduct financial or regulatory audits.,3
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Authorize financial actions.,2
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Negotiate financial arrangements.,3
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Interview clients to gather financial information.,3
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Monitor financial information.,4
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Verify accuracy of financial information.,3
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Explain financial information to customers.,4
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Calculate financial data.,4
Business Management and Accounting,FNB 250,money and banking,this course is an analysis of the organization and operation of our financial system including money and capital markets commercial banking and other financial institutions such as commercial finance companies the relationship between financial and economic activity including monetary and fiscal policy is demonstrated,Verify accuracy of financial or transactional data.,3
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Design industrial processing systems.,2
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Design industrial equipment.,1
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Develop sustainable industrial or development methods.,2
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Direct industrial production activities.,2
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Plan employee work schedules.,1
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Monitor the productivity or efficiency of industrial operations.,1
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Investigate industrial or transportation accidents.,3
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Operate industrial equipment.,1
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Cut industrial materials in preparation for fabrication or processing.,1
Linguistics and Art,FRN 461,the individual and society in 19th century french literature,based on works by chateaubriand stendhal balzac and zola this course analyzes the relationship between the individual and society undergoing critical changes special attention is given to the problem of the romantic ego in a materialistic society and the coming of age of a new hero emerging from the industrial revolution readings are in french discussion and written work in english or french,Research industrial processes or operations.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Treat greenery or surfaces with protective substances.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Track goods or materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Weigh materials to ensure compliance with specifications.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Sort recyclable materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Sort forestry or agricultural materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Select materials or props.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Dispose of hazardous materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Dispose of trash or waste materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,Remove debris or damaged materials.,1
Applied Sciences,HED 215,habituation and addiction and their prevention,this course covers causes of alcoholism and drug abuse it discusses ways people are introduced to harmful substances social and personal effects of alcoholism and drug abuse prevention and rehabilitation techniques methods and materials for professional students are given special consideration,"Load shipments, belongings, or materials.",1
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Provide basic health care services.,2
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Care for women during pregnancy and childbirth.,2
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Care for animals.,1
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Administer basic health care or medical treatments.,2
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Provide care for animals.,1
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Present sustainable products or services information to the public.,3
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Establish standards for medical care.,3
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Merchandise healthcare products or services.,3
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Sell products or services.,1
Applied Sciences,HED 230,consumer health survey,historical events and contemporary factors affecting the availability control and monitoring of american health care products and services are explored such factors include the private and public financing of health care public and private monitoring of health care and the ethical issues of medical care in america the purpose of the course is not to advocate any particular health care philosophy product or service but to provide the student with the skills and factual base for making informed decisions in the health care marketplace,Recommend products or services to customers.,1
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Counsel clients on mental health or personal achievement.,2
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Monitor health or behavior of people or animals.,2
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Design public or employee health programs.,2
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Communicate health and wellness information to the public.,4
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,"Monitor student behavior, social development, or health.",3
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Advise others on health and safety issues.,3
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Monitor animal behavior or condition.,1
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Review license or permit applications.,1
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,Document client health or progress.,2
Applied Sciences,HED 255,"communication strategies in health literacy, promotion and programming",an introduction to the united states and international field of health communication with an emphasis on theoretical constructs practical models and applications this course of study examines the multifaceted nature of health communication and its role in personal health behavior and public health interventions,"Build models, patterns, or templates.",3
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Teach exercise or fitness techniques.,3
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Participate in physical training to maintain fitness.,4
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Develop promotional strategies or plans.,2
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Maintain contingency plans for disaster recovery.,1
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Discuss designs or plans with clients.,2
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Develop marketing plans or strategies.,1
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Develop plans for programs or services.,2
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Develop fire safety or prevention programs or plans.,1
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,Confer with clients to discuss treatment plans or progress.,2
Applied Sciences,HED 260,fitness and cardiovascular health,this course focuses on preventive heart care utilizing nutritional plans cardiovascular stress management cardiovascular knowledge and individualized cardiovascular fitness programs in the classroom and fitness laboratory students explore devise and practice educational and fitness strategies to improve their overall cardiovascular health,"Develop operating strategies, plans, or procedures.",3
"Social Sciences, Humanities, and Education",HIS 102,the emergence of the modern world,this course traces the growth of the modern western world to the present it surveys the political economic and social foundations of contemporary civilization,Conduct surveys in organizations.,3
